row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func000000,0,0,0,0,0,0,00000000
1,5?????,1,makevectors,9,0,-1,0,1,462,30000000
2,5?????,1,setorigin,21,0,-2,0,2,463,13000000
3,5?????,1,setmodel,31,0,-3,0,2,464,11000000
4,5?????,1,setsize,40,0,-4,0,3,465,13300000
5,5?????,1,break,48,0,-6,0,0,466,00000000
6,5?????,1,random,54,0,-7,0,0,467,00000000
7,5?????,1,sound,61,0,-8,0,5,468,11111000
8,5?????,1,normalize,67,0,-9,0,1,469,30000000
9,5?????,1,error,77,0,-10,0,1,470,10000000
10,5?????,1,objerror,83,0,-11,0,1,471,10000000
11,5?????,1,vlen,92,0,-12,0,1,472,30000000
12,5?????,1,vectoyaw,97,0,-13,0,1,473,30000000
13,5?????,1,spawn,106,0,-14,0,0,474,00000000
14,5?????,1,remove,112,0,-15,0,1,475,10000000
15,5?????,1,traceline,119,0,-16,0,4,476,33110000
16,5?????,1,checkclient,129,0,-17,0,0,477,00000000
17,5?????,1,find,141,0,-18,0,3,478,11100000
18,5?????,1,precache_sound,146,0,-19,0,1,479,10000000
19,5?????,1,precache_model,161,0,-20,0,1,480,10000000
20,5?????,1,stuffcmd,176,0,-21,0,2,481,11000000
21,5?????,1,findradius,185,0,-22,0,2,482,31000000
22,5?????,1,bprint,196,0,-23,0,1,483,10000000
23,5?????,1,sprint,203,0,-24,0,2,484,11000000
24,5?????,1,dprint,210,0,-25,0,1,485,10000000
25,5?????,1,ftos,217,0,-26,0,1,486,10000000
26,5?????,1,vtos,222,0,-27,0,1,487,30000000
27,5?????,1,coredump,227,0,-28,0,0,488,00000000
28,5?????,1,traceon,236,0,-29,0,0,489,00000000
29,5?????,1,traceoff,244,0,-30,0,0,490,00000000
30,5?????,1,eprint,253,0,-31,0,1,491,10000000
31,5?????,1,walkmove,260,0,-32,0,2,492,11000000
32,5?????,1,droptofloor,269,0,-34,0,2,493,11000000
33,5?????,1,lightstyle,281,0,-35,0,2,494,11000000
34,5?????,1,rint,292,0,-36,0,1,495,10000000
35,5?????,1,floor,297,0,-37,0,1,496,10000000
36,5?????,1,ceil,303,0,-38,0,1,497,10000000
37,5?????,1,checkbottom,308,0,-40,0,1,498,10000000
38,5?????,1,pointcontents,320,0,-41,0,1,499,30000000
39,5?????,1,fabs,334,0,-43,0,1,500,10000000
40,5?????,1,aim,339,0,-44,0,2,501,11000000
41,5?????,1,cvar,343,0,-45,0,1,502,10000000
42,5?????,1,localcmd,348,0,-46,0,1,503,10000000
43,5?????,1,nextent,357,0,-47,0,1,504,10000000
44,5?????,1,particle,365,0,-48,0,4,505,33110000
45,5?????,1,ChangeYaw,374,0,-49,0,0,506,00000000
46,5?????,1,vectoangles,384,0,-51,0,1,507,30000000
47,5?????,1,WriteByte,396,0,-52,0,2,508,11000000
48,5?????,1,WriteChar,406,0,-53,0,2,509,11000000
49,5?????,1,WriteShort,416,0,-54,0,2,510,11000000
50,5?????,1,WriteLong,427,0,-55,0,2,511,11000000
51,5?????,1,WriteCoord,437,0,-56,0,2,512,11000000
52,5?????,1,WriteAngle,448,0,-57,0,2,513,11000000
53,5?????,1,WriteString,459,0,-58,0,2,514,11000000
54,5?????,1,WriteEntity,471,0,-59,0,2,515,11000000
55,5?????,1,movetogoal,483,0,-67,0,1,516,10000000
56,5?????,1,precache_file,494,0,-68,0,1,517,10000000
57,5?????,1,makestatic,508,0,-69,0,1,518,10000000
58,5?????,1,changelevel,519,0,-70,0,1,519,10000000
59,5?????,1,cvar_set,531,0,-72,0,2,520,11000000
60,5?????,1,centerprint,540,0,-73,0,2,521,11000000
61,5?????,1,ambientsound,552,0,-74,0,4,522,31110000
62,5?????,1,precache_model2,565,0,-75,0,1,523,10000000
63,5?????,1,precache_sound2,581,0,-76,0,1,524,10000000
64,5?????,1,precache_file2,597,0,-77,0,1,525,10000000
65,5?????,1,setspawnparms,612,0,-78,0,1,526,10000000
124,,?}?????,626,CheckForCollision,3134,0,3291,15,1,3543,10000000
125,,?}?????,626,DoEngineNoises,4604,0,3859,7,1,3903,10000000
126,,?}?????,626,body_close_to_ground,4619,0,4492,6,1,4202,10000000
127,,?}?????,626,FindNextMarker,4729,0,4507,4,1,4220,10000000
128,,?}?????,626,MoveVehicle,4855,0,4543,48,0,4237,00000000
129,,?}?????,626,checkSteering,4875,0,5284,10,0,4974,00000000
130,,?}?????,626,SteerChange,4889,0,5420,2,1,5057,10000000
131,,?}?????,626,calc_steering_controls,4901,0,5471,4,0,5091,00000000
132,,?}?????,626,VehiclePreThink,5036,0,5504,28,0,5106,00000000
133,,?}?????,626,DestroyVehicleParts,5052,0,6421,0,0,5866,00000000
134,,?}?????,626,CheckDriverReady,5128,0,6470,1,0,5891,00000000
135,,?}?????,626,NullModel,5145,0,6549,0,0,5927,00000000
136,,?}?????,626,PreRaceMsg,5803,0,6553,3,0,5929,00000000
137,,?}?????,626,CheckFirstStartFinish,5827,0,6741,0,0,6000,00000000
138,,?}?????,626,finish_think,5849,0,6762,0,0,6011,00000000
139,,?}?????,626,spawn_finish_model,5891,0,6775,2,0,6020,00000000
140,,?}?????,626,rally_startfinish,5910,0,6827,8,0,6056,00000000
141,,?}?????,626,rally_startfinish_brush,5928,0,6887,0,0,6108,00000000
142,,?}?????,626,rally_startfinish_flag,5952,0,6928,0,0,6124,00000000
143,,?}?????,626,StartNextRace,5975,0,6935,0,0,6133,00000000
144,,?}?????,626,GetDriverAtPos,5989,0,6939,2,1,6134,10000000
145,,?}?????,626,ShowRaceResults,6004,0,6945,3,0,6137,00000000
146,,?}?????,626,RaceOverMsg,6031,0,6954,1,0,6145,00000000
147,,?}?????,626,CheckLaps,6221,0,6982,3,0,6155,00000000
148,,?}?????,626,CheckFastestLap,6326,0,7114,1,0,6219,00000000
149,,?}?????,626,startfinish_touch,6354,0,7178,1,0,6245,00000000
150,,?}?????,626,flag_think,6372,0,7244,0,0,6282,00000000
151,,?}?????,626,spawn_marker_flag,6401,0,7260,2,0,6292,00000000
152,,?}?????,626,rally_marker,6419,0,7310,6,0,6329,00000000
153,,?}?????,626,rally_marker_brush,6432,0,7326,0,0,6351,00000000
154,,?}?????,626,marker_touch,6497,0,7329,1,0,6352,00000000
155,,?}?????,626,ToggleHeadlights,6510,0,7474,0,0,6439,00000000
156,,?}?????,626,player_infront,6527,0,7530,4,2,6467,11000000
157,,?}?????,626,SortPlayersByPosition,6729,0,7550,7,0,6493,00000000
158,,?}?????,626,BuildPlayerList,6762,0,7748,2,0,6609,00000000
159,,?}?????,626,PlaceRallyItem,6778,0,7784,0,0,6623,00000000
160,,?}?????,626,StartRallyItem,6793,0,7799,0,0,6635,00000000
161,,?}?????,626,boost_touch,6808,0,7805,0,0,6639,00000000
162,,?}?????,626,rally_boost,6820,0,7841,0,0,6679,00000000
163,,?}?????,626,rally_boost_brush,6844,0,7849,0,0,6687,00000000
164,,?}?????,626,rally_arrow,6862,0,7866,0,0,6696,00000000
165,,?}?????,626,bot_marker_touch,6874,0,7875,0,0,6704,00000000
166,,?}?????,626,rally_bot_marker,6891,0,7896,6,0,6717,00000000
167,,?}?????,626,rally_bot_marker_brush,6925,0,7904,0,0,6725,00000000
168,,?}?????,626,jump_touch,6948,0,7923,0,0,6735,00000000
169,,?}?????,626,rally_jump,6959,0,7939,0,0,6746,00000000
170,,?}?????,626,rally_jump_brush,6981,0,7953,0,0,6756,00000000
171,,?}?????,626,cone_think,6998,0,7970,1,0,6767,00000000
172,,?}?????,626,cone_touch,7036,0,7979,3,0,6773,00000000
173,,?}?????,626,rally_cone,7090,0,8039,0,0,6828,00000000
174,,?}?????,626,rally_baracade,7152,0,8075,0,0,6848,00000000
175,,?}?????,626,changesurface_touch,7167,0,8111,0,0,6874,00000000
176,,?}?????,626,rally_changesurface,7187,0,8119,6,0,6879,00000000
177,,?}?????,626,rally_changesurface_brush,7227,0,8140,0,0,6898,00000000
178,,?}?????,626,monster_hell_knight,7253,0,8157,0,0,6907,00000000
179,,?}?????,626,monster_fish,7273,0,8159,0,0,6908,00000000
180,,?}?????,626,monster_tarbaby,7286,0,8161,0,0,6909,00000000
181,,?}?????,626,monster_shalrath,7302,0,8163,0,0,6910,00000000
182,,?}?????,626,monster_enforcer,7319,0,8165,0,0,6911,00000000
183,,?}?????,626,CreditsThink,7775,0,8167,0,0,6912,00000000
184,,?}?????,626,StartDemoCredits,7788,0,8226,1,0,6940,00000000
185,,?}?????,626,bounce_object,7805,0,8240,3,0,6948,00000000
186,,?}?????,626,stopsign_touch,7873,0,8286,2,0,6996,00000000
187,,?}?????,626,rally_stopsign,7939,0,8356,0,0,7061,00000000
188,,?}?????,626,rally_type,8002,0,8392,1,0,7081,00000000
189,,?}?????,626,rally_observer_cam,8013,0,8443,0,0,7113,00000000
190,,?}?????,626,GetObserverSpot,8091,0,8457,1,0,7119,00000000
191,,?}?????,626,SetObserverSpot,8140,0,8478,5,2,7126,11000000
192,,?}?????,626,rally_starter,8175,0,8537,0,0,7164,00000000
193,,?}?????,626,RemoveAllWeaponItems,8189,0,8555,2,0,7174,00000000
194,,?}?????,626,CultIntroThink,8454,0,8579,0,0,7184,00000000
195,,?}?????,626,WaterScreenThink,8504,0,8597,1,0,7195,00000000
196,o???8<?&?,8521,FindSightEnemy,8564,0,8631,13,6,7211,33111100
197,o???8<?&?,8521,RocketSeek,8579,0,8704,13,0,7270,00000000
198,??????,8590,SUB_Null,8598,0,8800,0,0,7371,00000000
199,??????,8590,SUB_Remove,8607,0,8801,0,0,7371,00000000
200,??????,8590,SetMovedir,8618,0,8804,0,0,7372,00000000
201,??????,8590,InitTrigger,8629,0,8824,0,0,7405,00000000
202,??????,8590,SUB_CalcMoveEnt,8641,0,8841,7,4,7414,13110000
203,??????,8590,SUB_CalcMove,8678,0,8849,10,3,7421,31100000
204,??????,8590,SUB_CalcMoveDone,8691,0,8895,0,0,7472,00000000
205,??????,8590,SUB_CalcAngleMoveEnt,8708,0,8908,7,4,7482,13110000
206,??????,8590,SUB_CalcAngleMove,8729,0,8916,10,3,7489,31100000
207,??????,8590,SUB_CalcAngleMoveDone,8747,0,8943,0,0,7522,00000000
208,??????,8590,DelayThink,8769,0,8955,0,0,7535,00000000
209,??????,8590,SUB_UseTargets,8805,0,8961,4,0,7536,00000000
210,??????,8590,SUB_AttackFinished,8820,0,9048,0,1,7574,10000000
211,??????,8590,SUB_CheckRefire,8839,0,9056,0,1,7581,10000000
212,? ??PW,8855,knight_attack,8864,0,9074,1,0,7596,00000000
213,? ??PW,8855,CheckAttack,8878,0,9087,8,0,7621,00000000
214,? ??PW,8855,ai_face,8890,0,9088,0,0,7629,00000000
215,? ??PW,8855,ai_charge,8898,0,9098,0,1,7643,10000000
216,? ??PW,8855,ai_charge_side,8908,0,9102,4,0,7645,00000000
217,? ??PW,8855,ai_melee,8923,0,9103,4,0,7650,00000000
218,? ??PW,8855,ai_melee_side,8932,0,9104,4,0,7655,00000000
219,? ??PW,8855,SoldierCheckAttack,8946,0,9105,8,0,7660,00000000
220,? ??PW,8855,ShamCheckAttack,8965,0,9106,8,0,7669,00000000
221,? ??PW,8855,OgreCheckAttack,8981,0,9162,8,0,7713,00000000
222,???g^,8997,anglemod,9003,0,9226,0,1,7761,10000000
223,???g^,8997,movetarget_f,9046,0,9238,0,0,7766,00000000
224,???g^,8997,path_corner,9059,0,9252,0,0,7778,00000000
225,???g^,8997,t_movetarget,9071,0,9254,1,0,7778,00000000
226,???g^,8997,range,9084,0,9255,8,1,7779,10000000
227,???g^,8997,visible,9090,0,9278,7,1,7811,10000000
228,???g^,8997,infront,9098,0,9299,5,1,7838,10000000
229,???g^,8997,HuntTarget,9106,0,9315,0,0,7858,00000000
230,???g^,8997,SightSound,9612,0,9335,1,0,7876,00000000
231,???g^,8997,FoundTarget,9623,0,9497,0,0,7937,00000000
232,???g^,8997,FindTarget,9635,0,9509,2,0,7943,00000000
233,???g^,8997,ai_forward,9646,0,9589,0,1,7982,10000000
234,???g^,8997,ai_back,9657,0,9594,0,1,7985,10000000
235,???g^,8997,ai_pain,9665,0,9600,0,1,7989,10000000
236,???g^,8997,ai_painforward,9673,0,9603,0,1,7991,10000000
237,???g^,8997,ai_walk,9703,0,9608,4,1,7994,10000000
238,???g^,8997,ai_stand,9711,0,9621,0,0,8002,00000000
239,???g^,8997,ai_turn,9720,0,9631,0,0,8006,00000000
240,???g^,8997,ChooseTurn,9728,0,9636,9,1,8006,30000000
241,???g^,8997,FacingIdeal,9739,0,9659,1,0,8028,00000000
242,???g^,8997,CheckAnyAttack,9751,0,9672,0,0,8037,00000000
243,???g^,8997,ai_run_melee,9766,0,9678,0,0,8039,00000000
244,???g^,8997,ai_run_missile,9779,0,9688,0,0,8043,00000000
245,???g^,8997,ai_run_slide,9794,0,9698,1,0,8047,00000000
246,???g^,8997,ai_run,9807,0,9723,9,1,8059,10000000
247,?m?_ ,9814,CanDamage,9824,0,9724,0,2,8071,11000000
248,?m?_ ,9814,Killed,9834,0,9800,3,2,8152,11000000
249,?m?_ ,9814,T_Damage,9860,0,9842,10,4,8174,11110000
250,?m?_ ,9814,T_RadiusDamage,9869,0,9960,9,4,8275,11110000
251,?m?_ ,9814,T_BeamDamage,9884,0,10018,4,2,8325,11000000
252,?{-?F?(?,9897,SUB_regen,9924,0,10068,0,0,8354,00000000
253,?{-?F?(?,9897,noclass,9953,0,10084,0,0,8362,00000000
254,?{-?F?(?,9897,PlaceItem,9994,0,10096,1,0,8367,00000000
255,?{-?F?(?,9897,StartItem,10004,0,10132,0,0,8388,00000000
256,?{-?F?(?,9897,T_Heal,10014,0,10138,0,3,8391,11100000
257,?{-?F?(?,9897,item_health,10124,0,10172,0,0,8421,00000000
258,?{-?F?(?,9897,health_touch,10158,0,10227,2,0,8444,00000000
259,?{-?F?(?,9897,item_megahealth_rot,10171,0,10310,0,0,8477,00000000
260,?{-?F?(?,9897,armor_touch,10261,0,10338,3,0,8496,00000000
261,?{-?F?(?,9897,item_armor1,10289,0,10410,0,0,8536,00000000
262,?{-?F?(?,9897,item_armor2,10301,0,10425,0,0,8543,00000000
263,?{-?F?(?,9897,item_armorInv,10313,0,10440,0,0,8546,00000000
264,?{-?F?(?,9897,bound_other_ammo,10327,0,10455,0,0,8549,00000000
265,?{-?F?(?,9897,RankForWeapon,10344,0,10476,0,1,8562,10000000
266,?{-?F?(?,9897,Deathmatch_Weapon,10358,0,10496,4,2,8570,11000000
267,?{-?F?(?,9897,weapon_touch,10732,0,10508,6,0,8578,00000000
268,?{-?F?(?,9897,weapon_supershotgun,10787,0,10736,0,0,8706,00000000
269,?{-?F?(?,9897,weapon_nailgun,10824,0,10756,0,0,8713,00000000
270,?{-?F?(?,9897,weapon_supernailgun,10871,0,10762,0,0,8716,00000000
271,?{-?F?(?,9897,weapon_rocketlauncher,10925,0,10782,0,0,8723,00000000
272,?{-?F?(?,9897,weapon_repulsor,10976,0,10802,0,0,8730,00000000
273,?{-?F?(?,9897,weapon_detonator,11022,0,10822,0,0,8737,00000000
274,?{-?F?(?,9897,weapon_grenadelauncher,11073,0,10842,0,0,8744,00000000
275,?{-?F?(?,9897,weapon_minelauncher,11128,0,10866,0,0,8752,00000000
276,?{-?F?(?,9897,weapon_lasergun,11176,0,10886,0,0,8759,00000000
277,?{-?F?(?,9897,ammo_touch,11223,0,10906,2,0,8765,00000000
278,?{-?F?(?,9897,item_shells,11277,0,11018,0,0,8817,00000000
279,?{-?F?(?,9897,item_spikes,11329,0,11051,0,0,8829,00000000
280,?{-?F?(?,9897,item_rockets,11383,0,11084,0,0,8841,00000000
281,?{-?F?(?,9897,item_cells,11445,0,11117,0,0,8853,00000000
282,?{-?F?(?,9897,item_weapon,11456,0,11150,0,0,8869,00000000
283,?{-?F?(?,9897,key_touch,11468,0,11153,2,0,8871,00000000
284,?{-?F?(?,9897,key_setsounds,11528,0,11200,0,0,8890,00000000
285,?{-?F?(?,9897,item_key1,11637,0,11222,0,0,8903,00000000
286,?{-?F?(?,9897,item_key2,11736,0,11265,0,0,8927,00000000
287,?{-?F?(?,9897,sigil_touch,11764,0,11306,2,0,8945,00000000
288,?{-?F?(?,9897,item_sigil,11850,0,11340,0,0,8960,00000000
289,?{-?F?(?,9897,powerup_touch,11970,0,11389,2,0,8978,00000000
290,?{-?F?(?,9897,item_artifact_invulnerability,12064,0,11481,0,0,9030,00000000
291,?{-?F?(?,9897,item_artifact_envirosuit,12148,0,11506,0,0,9039,00000000
292,?{-?F?(?,9897,item_artifact_invisibility,12253,0,11529,0,0,9048,00000000
293,?{-?F?(?,9897,item_artifact_super_damage,12364,0,11554,0,0,9058,00000000
294,?{-?F?(?,9897,BackpackTouch,12438,0,11579,5,0,9068,00000000
295,?{-?F?(?,9897,DropBackpack,12471,0,11700,1,0,9122,00000000
296,????^?<Y??,12484,W_Precache,12720,0,11764,0,0,9175,00000000
297,????^?<Y??,12484,crandom,12731,0,11789,0,0,9188,00000000
298,????^?<Y??,12484,W_FireAxe,12757,0,11794,6,0,9191,00000000
299,????^?<Y??,12484,wall_velocity,12767,0,11846,3,0,9220,00000000
300,????^?<Y??,12484,SpawnMeatSpray,12799,0,11868,8,2,9250,33000000
301,????^?<Y??,12484,SpawnBlood,12814,0,11906,0,3,9282,33100000
302,????^?<Y??,12484,spawn_touchblood,12825,0,11914,4,1,9295,10000000
303,????^?<Y??,12484,SpawnChunk,12842,0,11925,0,2,9313,33000000
304,????^?<Y??,12484,ClearMultiDamage,12853,0,11932,0,0,9326,00000000
305,????^?<Y??,12484,ApplyMultiDamage,12870,0,11935,0,0,9327,00000000
306,????^?<Y??,12484,AddMultiDamage,12887,0,11944,0,2,9329,11000000
307,????^?<Y??,12484,TraceAttack,12902,0,11956,10,2,9335,13000000
308,????^?<Y??,12484,FireBullets,12914,0,12000,13,3,9377,13300000
309,????^?<Y??,12484,W_FireShotgun,12926,0,12041,3,0,9431,00000000
310,????^?<Y??,12484,W_FireSuperShotgun,12940,0,12064,3,0,9444,00000000
311,????^?<Y??,12484,s_explode1,12959,0,12092,0,0,9459,00000000
312,????^?<Y??,12484,s_explode2,12970,0,12094,0,0,9460,00000000
313,????^?<Y??,12484,s_explode3,12981,0,12096,0,0,9461,00000000
314,????^?<Y??,12484,s_explode4,12992,0,12098,0,0,9462,00000000
315,????^?<Y??,12484,s_explode5,13003,0,12100,0,0,9463,00000000
316,????^?<Y??,12484,s_explode6,13014,0,12102,0,0,9464,00000000
317,????^?<Y??,12484,BecomeExplosion,13044,0,12104,0,0,9464,00000000
318,????^?<Y??,12484,T_MissileTouch,13060,0,12117,1,0,9471,00000000
319,????^?<Y??,12484,W_FireRocket,13115,0,12191,9,0,9511,00000000
320,????^?<Y??,12484,LightningDamage,13128,0,12287,13,4,9588,33110000
321,????^?<Y??,12484,W_FireLightning,13144,0,12376,3,0,9644,00000000
322,????^?<Y??,12484,GrenadeExplode,13160,0,12377,0,0,9648,00000000
323,????^?<Y??,12484,GrenadeDetonateThink,13194,0,12455,0,0,9706,00000000
324,????^?<Y??,12484,GrenadeTouch,13252,0,12510,0,0,9731,00000000
325,????^?<Y??,12484,GrenadeThink,13265,0,12559,0,0,9755,00000000
326,????^?<Y??,12484,W_FireGrenade,13306,0,12588,2,0,9784,00000000
327,????^?<Y??,12484,MineExplode,13320,0,12645,0,0,9826,00000000
328,????^?<Y??,12484,MineTouch,13332,0,12671,0,0,9831,00000000
329,????^?<Y??,12484,SpawnMine,13363,0,12698,8,2,9845,31000000
330,????^?<Y??,12484,MineThink,13373,0,12760,5,0,9916,00000000
331,????^?<Y??,12484,W_FireMine,13383,0,12836,2,0,9968,00000000
332,????^?<Y??,12484,LaserTouch,13419,0,12915,0,0,10029,00000000
